======================================================================
  VOODOO AOI v3.0 -- Gompertz-Immune Parameter Sweep
  Finding the algebraic phase transition to bounded attractor
======================================================================

  Fixed: r=0.5, K=1e+09, s=1e+04, mu=0.2
  Sweeping: delta (immune killing), rho (immune activation)

  Running sweep...

  Completed 625 parameter combinations.

======================================================================
  PHASE TRANSITION ANALYSIS
======================================================================

  BOUNDED (remission-like attractor): 0/625 points
  ESCAPE (uncontrolled growth):       625/625 points

  NO BOUNDED POINTS FOUND — try wider parameter range

======================================================================
  STRUCTURAL CHANGES AT TRANSITION
======================================================================

  Fixed rho = 1e-07, sweeping delta:


  Full delta sweep at rho=1e-07:
         delta  chaos     e7_J     e7_C     e7_A   J_norm   A_norm    +F    -F   status
  ------------------------------------------------------------------------------------------
    1.0000e-08   4.31  -0.1504  -0.5712  -7.0793   4.3091  21.5327     1     6   ESCAPE
    1.3434e-08   4.29  -0.1510  -0.6030  -6.9590   4.3045  21.4476     1     6   ESCAPE
    1.8047e-08   4.27  -0.1515  -0.6346  -6.8386   4.2996  21.3612     1     6   ESCAPE
    2.4245e-08   4.25  -0.1521  -0.6659  -6.7183   4.2946  21.2735     1     6   ESCAPE
    3.2570e-08   4.24  -0.1528  -0.6970  -6.5982   4.2894  21.1847     1     6   ESCAPE
    4.3755e-08   4.22  -0.1534  -0.7277  -6.4783   4.2840  21.0947     1     6   ESCAPE
    5.8780e-08   4.20  -0.1541  -0.7582  -6.3589   4.2784  21.0036     1     6   ESCAPE
    7.8965e-08   4.18  -0.1548  -0.7883  -6.2402   4.2725  20.9114     1     6   ESCAPE
    1.0608e-07   4.16  -0.1556  -0.8181  -6.1222   4.2664  20.8181     1     6   ESCAPE
    1.4251e-07   4.14  -0.1565  -0.8474  -6.0052   4.2601  20.7239     1     6   ESCAPE
    1.9145e-07   4.13  -0.1576  -0.8764  -5.8895   4.2535  20.6286     1     6   ESCAPE
    2.5719e-07   4.11  -0.1590  -0.9049  -5.7752   4.2467  20.5323     1     6   ESCAPE
    3.4551e-07   4.09  -0.1606  -0.9329  -5.6626   4.2395  20.4349     1     6   ESCAPE
    4.6416e-07   4.07  -0.1628  -0.9604  -5.5523   4.2319  20.3365     1     6   ESCAPE
    6.2355e-07   4.05  -0.1655  -0.9873  -5.4445   4.2240  20.2370     1     6   ESCAPE
    8.3768e-07   4.03  -0.1691  -1.0137  -5.3400   4.2155  20.1364     1     6   ESCAPE
    1.1253e-06   4.01  -0.1738  -1.0393  -5.2395   4.2064  20.0344     1     6   ESCAPE
    1.5118e-06   3.99  -0.1801  -1.0642  -5.1440   4.1966  19.9309     1     6   ESCAPE
    2.0309e-06   3.97  -0.1884  -1.0882  -5.0549   4.1858  19.8258     1     6   ESCAPE
    2.7283e-06   3.94  -0.1995  -1.1112  -4.9737   4.1739  19.7186     2     5   ESCAPE
    3.6652e-06   3.92  -0.2144  -1.1330  -4.9028   4.1605  19.6091     2     5   ESCAPE
    4.9239e-06   3.90  -0.2344  -1.1534  -4.8452   4.1452  19.4969     2     5   ESCAPE
    6.6147e-06   3.88  -0.2611  -1.1720  -4.8046   4.1274  19.3816     2     5   ESCAPE
    8.8862e-06   3.85  -0.2968  -1.1884  -4.7861   4.1066  19.2630     2     5   ESCAPE
    1.1938e-05   3.88  -0.3472  -1.2087  -4.8480   4.1110  19.3810     2     5   ESCAPE
    1.6037e-05   3.85  -0.4115  -1.2186  -4.8955   4.0816  19.2584     2     5   ESCAPE
    2.1544e-05   3.83  -0.4975  -1.2234  -4.9893   4.0467  19.1385     2     5   ESCAPE
    2.8943e-05   3.81  -0.6122  -1.2213  -5.1398   4.0061  19.0304     2     5   ESCAPE
    3.8882e-05   3.79  -0.7642  -1.2094  -5.3558   3.9609  18.9528     2     5   ESCAPE
    5.2233e-05   3.79  -0.9638  -1.1839  -5.6400   3.9147  18.9412     2     5   ESCAPE
    7.0170e-05   3.81  -1.2214  -1.1392  -5.9784   3.8763  19.0577     2     5   ESCAPE
    9.4267e-05   3.88  -1.5434  -1.0677  -6.3209   3.8616  19.3944     2     5   ESCAPE
    1.2664e-04   4.01  -1.9238  -0.9601  -6.5555   3.8914  20.0394     2     5   ESCAPE
    1.7013e-04   4.19  -2.3294  -0.8082  -6.4925   3.9752  20.9395     2     5   ESCAPE
    2.2855e-04   4.33  -2.6864  -0.6117  -5.9133   4.0794  21.6387     2     5   ESCAPE
    3.0703e-04   4.24  -2.8904  -0.3871  -4.7379   4.1080  21.1906     2     5   ESCAPE
    4.1246e-04   3.76  -2.8603  -0.1699  -3.2058   3.9510  18.7932     2     5   ESCAPE
    5.5410e-04   2.95  -2.6014  +0.0014  -1.7812   3.5743  14.7492     3     3   ESCAPE
    7.4438e-04   2.06  -2.2028  +0.1082  -0.7944   3.0469  10.3197     4     3   ESCAPE
    1.0000e-03   1.32  -1.7705  +0.1564  -0.2650   2.4780   6.6079     4     3   ESCAPE

======================================================================
  SWEEP COMPLETE
======================================================================
